Person,Title,Organizations,Forbes Number,Tags,Race,AAPI Subcategory,Gender,Photo,Last Checked
Jeffrey R. Balser,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bde2E7PbyUq4aV1ljg2kbT/Jeffrey%20R%20Balser.png,2023-02-08
Alecia A. DeCoudreaux,"Board Member, CVS Health",CVS Health,4,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9MwNnHPjIFvcNJDDGGP_-z/Alecia%20A%20DeCoudreaux.png,2023-02-08
Nancy-Ann M. Deparle,"Board Member, CVS Health",CVS Health,4,Board Member,Asian,East Asian,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9U_vzpLjowQfT1Wqz5-4Or/Nancy-Ann%20M%20Deparle.png,2023-02-08
Roger N. Farah,"Board Chair, CVS Health",CVS Health,4,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8DBkcGRBMUB9b2XSAA9Oo8/Roger%20N%20Farah.jpg,2023-02-08
Edward J. Ludwig,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/a5UrzabatqOe60Aa0MXOOP/Edward%20J%20Ludwig.jpg,2023-02-08
Karen S. Lynch,"CEO, CVS Health",CVS Health,4,"Board Member, CEO",White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/97_NAKdGQGR2JzcdmoMkTR/1626093516410.jpg,2023-02-08
Jean-Pierre Millon,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/a7VE9mh1Aurd1vvASMnOj-/Jean-Pierre%20Millon.png,2023-02-08
Anne M. Finucane,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9Y4wTQ73JgWaSbnczG1OKI/Anne%20Finucane.png,2023-02-08
Mary L. Schapiro,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aYKzdijjPPub_B0Yy6YkJ9/Mary%20L%20Schapiro.png,2023-02-08
William C. Weldon,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/a9tnor5IHN78bBECXeokO8/William%20C%20Weldon.png,2023-02-08
Indra Nooyi,"Board Member, Amazon",Amazon,2,Board Member,Asian,South Asian,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/986C07Nsfpfcb59UANr_zq/Indra%20Nooyi.jpg,2023-02-08
Jeffrey P. Bezos,"Board Chair, Amazon",Amazon,2,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bNSfxGwg4gCfJWQVCcOkDG/Jeffrey%20P%20Bezos.jpg,2023-02-08
Andy Jassy,"CEO, Amazon",Amazon,2,"CEO, Board Member",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bcfOqm5x0C2di1PQXyfkNU/Andy%20Jassy.jpg,2023-02-08
Keith B. Alexander,"Board Member, Amazon",Amazon,2,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8-WVNSryPhy5YOn8TBRORa/Keith%20Alexander.jpg,2023-02-08
